#Top: example_top   Floorplan: synth_1   Part: xcku3p-ffva676-2-i
#Generated by: johnh   on: Thu Jul 25 14:09:49 2024
#Build: Vivado v2022.2   by: xbuild   on: Fri Oct 14 05:00:03 MDT 2022
#Package Version: PRODUCTION 1.1 3/9/2017
#Package Pin Delay Version: PRODUCTION 1.0 8/23/2016

#The following package pin(s) are connected to master PCIE reset pins, and #    should be tied off to a 1.8V standard - 
IO Bank,Pin Number,Site,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Prohibit,Interface,Signal Name,Direction,DiffPair Type,DiffPair Signal,IO Standard,Drive (mA),Slew Rate,OUTPUT_IMPEDANCE,PRE_EMPHASIS,LVDS_PRE_EMPHASIS,EQUALIZATION,Pull Type,DQS_BIAS,DIFF_TERM,OFFCHIP_TERM,Board Signal,Board Voltage,ODT
67,B20,IOB_X0Y171,IO_L8P_T1L_N2_AD5P_67,122.886,124.121,,interface_ddr4_0,c0_ddr4_adr[12],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,A23,IOB_X0Y170,IO_L7N_T1L_N1_QBC_AD13N_67,114.698,115.851,,interface_ddr4_0,c0_ddr4_adr[11],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,A22,IOB_X0Y169,IO_L7P_T1L_N0_QBC_AD13P_67,113.470,114.610,,interface_ddr4_0,c0_ddr4_adr[10],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,B17,IOB_X0Y193,IO_L18N_T2U_N11_AD2N_67,116.176,117.344,,interface_ddr4_0,c0_ddr4_adr[9],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,C17,IOB_X0Y192,IO_L18P_T2U_N10_AD2P_67,116.805,117.979,,interface_ddr4_0,c0_ddr4_adr[8],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,B16,IOB_X0Y191,IO_L17N_T2U_N9_AD10N_67,109.173,110.271,,interface_ddr4_0,c0_ddr4_adr[7],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,C16,IOB_X0Y190,IO_L17P_T2U_N8_AD10P_67,108.715,109.808,,interface_ddr4_0,c0_ddr4_adr[6],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,A18,IOB_X0Y187,IO_L15N_T2L_N5_AD11N_67,112.542,113.673,,interface_ddr4_0,c0_ddr4_adr[5],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,A17,IOB_X0Y186,IO_L15P_T2L_N4_AD11P_67,117.969,119.155,,interface_ddr4_0,c0_ddr4_adr[4],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,C18,IOB_X0Y185,IO_L14N_T2L_N3_GC_67,115.276,116.434,,interface_ddr4_0,c0_ddr4_adr[3],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,D18,IOB_X0Y184,IO_L14P_T2L_N2_GC_67,115.624,116.786,,interface_ddr4_0,c0_ddr4_adr[2],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,C19,IOB_X0Y183,IO_L13N_T2L_N1_GC_QBC_67,97.524,98.504,,interface_ddr4_0,c0_ddr4_adr[1],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,D19,IOB_X0Y182,IO_L13P_T2L_N0_GC_QBC_67,97.553,98.534,,interface_ddr4_0,c0_ddr4_adr[0],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,E16,IOB_X0Y207,IO_T3U_N12_67,112.361,113.490,,interface_ddr4_0,c0_ddr4_cs_n[0],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,E22,IOB_X0Y181,IO_T1U_N12_67,95.581,96.542,,interface_ddr4_0,c0_ddr4_cke[0],OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,B19,IOB_X0Y188,IO_L16P_T2U_N6_QBC_AD3P_67,125.158,126.416,,interface_ddr4_0,c0_ddr4_ck_t[0],OUT,P,c0_ddr4_ck_c[0],DIFF_SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,A19,IOB_X0Y189,IO_L16N_T2U_N7_QBC_AD3N_67,124.905,126.160,,interface_ddr4_0,c0_ddr4_ck_c[0],OUT,N,c0_ddr4_ck_t[0],DIFF_SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,A25,IOB_X0Y157,IO_L1N_T0L_N1_DBC_67,126.913,128.188,,interface_ddr4_0,c0_ddr4_act_n,OUT,,,SSTL12_DCI,,FAST,RDRV_40_40,,,,,,,FP_VTT_50,,,
67,E20,IOB_X0Y177,IO_L11P_T1U_N8_GC_67,96.511,97.481,,interface_ddr4_0,c0_sys_clk_p,IN,P,c0_sys_clk_n,DIFF_SSTL12,,,,,,,,,,,,,
67,E21,IOB_X0Y178,IO_L11N_T1U_N9_GC_67,95.261,96.218,,interface_ddr4_0,c0_sys_clk_n,IN,N,c0_sys_clk_p,DIFF_SSTL12,,,,,,,,,,,,,
67,F20,IOB_X0Y196,IO_L19N_T3L_N1_DBC_AD9N_67,90.411,91.319,,interface_ddr4_0,c0_ddr4_reset_n,OUT,,,LVCMOS12,8,SLOW,,,,,,,,NONE,,,
64,P19,IOB_X0Y44,IO_L21N_T3L_N5_AD8N_64,98.799,99.792,,,c0_data_compare_error,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
64,P20,IOB_X0Y47,IO_L23P_T3U_N8_64,80.143,80.949,,,sys_rst,IN,,,LVCMOS18,,,,,,,,,,,,,
64,P18,IOB_X0Y43,IO_L21P_T3L_N4_AD8P_64,104.411,105.461,,,c0_init_calib_complete,OUT,,,LVCMOS18,12,SLOW,,,,,,,,FP_VTT_50,,,
0,AA7,,VBATT,79.582,80.382,,,,,,,,,,,,,,,,,,,,
0,F7,,POR_OVERRIDE,88.174,89.060,,,,,,,,,,,,,,,,,,,,
0,G7,,INIT_B_0,85.434,86.293,,,,,,,,,,,,,,,,,,,,
0,H7,,M1_0,71.847,72.569,,,,,,,,,,,,,,,,,,,,
0,J8,,PUDC_B_0,76.837,77.609,,,,,,,,,,,,,,,,,,,,
0,K7,,M0_0,55.490,56.048,,,,,,,,,,,,,,,,,,,,
0,L7,,M2_0,54.593,55.142,,,,,,,,,,,,,,,,,,,,
0,L9,,TDO_0,48.237,48.722,,,,,,,,,,,,,,,,,,,,
0,M7,,PROGRAM_B_0,42.919,43.351,,,,,,,,,,,,,,,,,,,,
0,N11,,GNDADC,54.852,55.403,,,,,,,,,,,,,,,,,,,,
0,N12,,VCCADC,55.479,56.037,,,,,,,,,,,,,,,,,,,,
0,N7,,RDWR_FCS_B_0,42.193,42.617,,,,,,,,,,,,,,,,,,,,
0,N9,,TDI_0,37.187,37.560,,,,,,,,,,,,,,,,,,,,
0,P11,,VREFN,54.307,54.853,,,,,,,,,,,,,,,,,,,,
0,P7,,D03_0,46.388,46.854,,,,,,,,,,,,,,,,,,,,
0,P9,,TMS_0,39.138,39.531,,,,,,,,,,,,,,,,,,,,
0,R12,,VREFP,74.808,75.560,,,,,,,,,,,,,,,,,,,,
0,R7,,D02_0,50.203,50.708,,,,,,,,,,,,,,,,,,,,
0,R9,,TCK_0,49.056,49.549,,,,,,,,,,,,,,,,,,,,
0,T11,,DXN,72.636,73.366,,,,,,,,,,,,,,,,,,,,
0,T12,,DXP,78.080,78.865,,,,,,,,,,,,,,,,,,,,
0,T7,,D01_DIN_0,60.129,60.733,,,,,,,,,,,,,,,,,,,,
0,T9,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,,
0,U7,,D00_MOSI_0,64.808,65.459,,,,,,,,,,,,,,,,,,,,
0,U9,,CCLK_0,60.286,60.892,,,,,,,,,,,,,,,,,,,,
0,V7,,DONE_0,80.448,81.256,,,,,,,,,,,,,,,,,,,,
0,V9,,VCCO_0,,,,,,,,,,,,,,,,,,,,VCCO_0,,
0,Y7,,RSVDGND,97.061,98.037,,,,,,,,,,,,,,,,,,,,
64,Y22,IOB_X0Y12,IO_T0U_N12_VRP_64,75.516,76.275,,,,,,,,,,,,,,,,,,,,
64,U25,IOB_X0Y25,IO_T1U_N12_64,73.553,74.293,,,,,,,,,,,,,,,,,,,,
64,T25,IOB_X0Y38,IO_T2U_N12_64,69.157,69.852,,,,,,,,,,,,,,,,,,,,
64,V21,IOB_X0Y51,IO_T3U_N12_64,104.203,105.251,,,,,,,,,,,,,,,,,,,,
64,AB24,IOB_X0Y1,IO_L1N_T0L_N1_DBC_64,83.951,84.795,,,,,,,,,,,,,,,,,,,,
64,AA24,IOB_X0Y0,IO_L1P_T0L_N0_DBC_64,82.591,83.422,,,,,,,,,,,,,,,,,,,,
64,AC26,IOB_X0Y3,IO_L2N_T0L_N3_64,88.793,89.686,,,,,,,,,,,,,,,,,,,,
64,AB26,IOB_X0Y2,IO_L2P_T0L_N2_64,87.895,88.779,,,,,,,,,,,,,,,,,,,,
64,AB22,IOB_X0Y5,IO_L3N_T0L_N5_AD15N_64,75.722,76.483,,,,,,,,,,,,,,,,,,,,
64,AA22,IOB_X0Y4,IO_L3P_T0L_N4_AD15P_64,74.905,75.658,,,,,,,,,,,,,,,,,,,,
64,AB25,IOB_X0Y7,IO_L4N_T0U_N7_DBC_AD7N_64,76.610,77.380,,,,,,,,,,,,,,,,,,,,
64,AA25,IOB_X0Y6,IO_L4P_T0U_N6_DBC_AD7P_64,76.042,76.807,,,,,,,,,,,,,,,,,,,,
64,AA23,IOB_X0Y9,IO_L5N_T0U_N9_AD14N_64,70.972,71.685,,,,,,,,,,,,,,,,,,,,
64,Y23,IOB_X0Y8,IO_L5P_T0U_N8_AD14P_64,68.605,69.294,,,,,,,,,,,,,,,,,,,,
64,AC24,IOB_X0Y11,IO_L6N_T0U_N11_AD6N_64,88.758,89.650,,,,,,,,,,,,,,,,,,,,
64,AC23,IOB_X0Y10,IO_L6P_T0U_N10_AD6P_64,93.086,94.021,,,,,,,,,,,,,,,,,,,,
64,W24,IOB_X0Y14,IO_L7N_T1L_N1_QBC_AD13N_64,61.623,62.243,,,,,,,,,,,,,,,,,,,,
64,W23,IOB_X0Y13,IO_L7P_T1L_N0_QBC_AD13P_64,61.989,62.612,,,,,,,,,,,,,,,,,,,,
64,W26,IOB_X0Y16,IO_L8N_T1L_N3_AD5N_64,71.075,71.790,,,,,,,,,,,,,,,,,,,,
64,W25,IOB_X0Y15,IO_L8P_T1L_N2_AD5P_64,69.856,70.559,,,,,,,,,,,,,,,,,,,,
64,Y26,IOB_X0Y18,IO_L9N_T1L_N5_AD12N_64,78.399,79.187,,,,,,,,,,,,,,,,,,,,
64,Y25,IOB_X0Y17,IO_L9P_T1L_N4_AD12P_64,77.866,78.648,,,,,,,,,,,,,,,,,,,,
64,V26,IOB_X0Y20,IO_L10N_T1U_N7_QBC_AD4N_64,70.537,71.246,,,,,,,,,,,,,,,,,,,,
64,U26,IOB_X0Y19,IO_L10P_T1U_N6_QBC_AD4P_64,69.671,70.371,,,,,,,,,,,,,,,,,,,,
64,V24,IOB_X0Y22,IO_L11N_T1U_N9_GC_64,62.487,63.115,,,,,,,,,,,,,,,,,,,,
64,U24,IOB_X0Y21,IO_L11P_T1U_N8_GC_64,61.170,61.784,,,,,,,,,,,,,,,,,,,,
64,V23,IOB_X0Y24,IO_L12N_T1U_N11_GC_64,57.397,57.974,,,,,,,,,,,,,,,,,,,,
64,V22,IOB_X0Y23,IO_L12P_T1U_N10_GC_64,56.062,56.626,,,,,,,,,,,,,,,,,,,,
64,T24,IOB_X0Y27,IO_L13N_T2L_N1_GC_QBC_64,82.010,82.835,,,,,,,,,,,,,,,,,,,,
64,T23,IOB_X0Y26,IO_L13P_T2L_N0_GC_QBC_64,81.663,82.484,,,,,,,,,,,,,,,,,,,,
64,U22,IOB_X0Y29,IO_L14N_T2L_N3_GC_64,69.749,70.450,,,,,,,,,,,,,,,,,,,,
64,T22,IOB_X0Y28,IO_L14P_T2L_N2_GC_64,70.638,71.348,,,,,,,,,,,,,,,,,,,,
64,R26,IOB_X0Y31,IO_L15N_T2L_N5_AD11N_64,82.923,83.756,,,,,,,,,,,,,,,,,,,,
64,P26,IOB_X0Y30,IO_L15P_T2L_N4_AD11P_64,87.435,88.314,,,,,,,,,,,,,,,,,,,,
64,R23,IOB_X0Y33,IO_L16N_T2U_N7_QBC_AD3N_64,76.296,77.062,,,,,,,,,,,,,,,,,,,,
64,R22,IOB_X0Y32,IO_L16P_T2U_N6_QBC_AD3P_64,76.965,77.739,,,,,,,,,,,,,,,,,,,,
