Designator,Mid X,Mid Y,Rotation,Layer
R138,213.881501,-100.775,270.0,top
R139,193.225,-54.7,270.0,bottom
R14,199.925,-72.575,180.0,bottom
R140,191.824999,-54.725,270.0,bottom
R141,193.325,-63.315,90.0,bottom
R142,211.025,-100.775,270.0,top
R143,211.725,-100.775,270.0,top
R144,212.425,-100.775,270.0,top
R145,192.625,-63.315,90.0,bottom
R146,189.825,-63.32,270.0,bottom
R147,215.825,-92.955,270.0,top
R148,213.725,-92.955,270.0,top
R149,213.181501,-100.775,90.0,top
R15,200.9,-70.425,0.0,bottom
R151,189.0,-63.425,90.0,top
R152,214.581501,-100.775,90.0,top
R153,214.425,-92.955,270.0,top
R154,189.825,-54.675,270.0,top
R155,193.325,-54.675,270.0,top
R156,189.675,-94.475,180.0,top
R157,192.5,-63.425,90.0,top
R16,219.612499,-74.05,0.0,top
R161,186.968498,-94.53,270.0,top
R167,186.0685,-102.22,90.0,top
R168,187.3685,-102.22,90.0,top
R17,219.612499,-76.645,0.0,top
R18,219.612499,-79.234999,0.0,top
R19,219.612499,-81.825,0.0,top
R2,181.825,-90.425,90.0,top
R20,214.25,-81.83,270.0,top
R21,214.25,-80.45,270.0,top
R22,214.25,-84.63,270.0,top
R23,214.25,-83.175,270.0,top
R24,214.705,-86.775,0.0,top
R25,214.705,-87.475,0.0,top
R26,214.705,-88.175,0.0,top
R27,214.705,-88.875,0.0,top
R28,214.705,-89.575,0.0,top
R29,214.705,-91.675,0.0,top
R3,209.945,-69.975,0.0,bottom
R30,214.705,-90.975,0.0,top
R31,214.705,-90.275,0.0,top
R32,204.795,-74.675,180.0,bottom
R33,199.925,-73.875,0.0,bottom
R34,203.625,-83.945,270.0,bottom
R35,206.494997,-81.975,180.0,bottom
R36,223.930001,-61.345,270.0,bottom
R37,219.975,-61.575,90.0,top
R38,220.595,-65.925,0.0,top
R39,219.975,-60.175,90.0,top
R4,194.125,-91.675,180.0,bottom
R40,223.93,-59.68,270.0,bottom
R41,212.74,-56.145,180.0,bottom
R42,210.15,-54.075,0.0,top
R43,212.74,-55.345,180.0,bottom
R44,215.275,-62.925,270.0,top
R45,213.675,-61.045,90.0,bottom
R46,216.525,-62.925,90.0,top
R47,216.875,-54.805,90.0,bottom
R48,217.22,-61.525,0.0,bottom
R49,216.075,-54.805,270.0,bottom
R5,194.125,-90.975,0.0,bottom
R50,177.72,-89.425,180.0,top
R51,181.475,-98.875,270.0,bottom
R52,182.525,-91.825,270.0,top
R53,181.825,-91.825,270.0,top
R54,181.125,-91.825,270.0,top
R55,180.425,-91.825,270.0,top
R56,200.125,-95.9625,90.0,bottom
R57,217.725,-100.957499,270.0,top
R58,207.695,-93.325,180.0,bottom
R6,214.684999,-71.675,0.0,top
R61,207.67,-95.275,180.0,bottom
R62,207.695,-94.025,180.0,bottom
R63,194.725,-54.965,0.0,bottom
R64,191.225,-63.32,90.0,bottom
R65,190.525,-63.32,90.0,bottom
R66,190.425,-54.725,270.0,bottom
R67,183.055,-57.425,0.0,bottom
R68,203.775,-56.53,270.0,bottom
R7,214.675,-67.975,0.0,top
R70,204.475,-56.53,270.0,bottom
R71,187.475,-85.975,0.0,bottom
R72,187.475,-85.275,0.0,bottom
R73,203.075,-56.53,270.0,bottom
R74,187.475,-86.674995,0.0,bottom
R76,181.72,-57.425,180.0,bottom
R78,203.775,-57.175,90.0,top
R8,207.125,-69.975,0.0,bottom
R82,203.52,-58.7,180.0,bottom
R83,203.075,-57.175,90.0,top
R85,199.885,-57.425,180.0,bottom
R87,182.425,-59.175,270.0,bottom
R9,214.68,-70.975,180.0,top
R91,183.125,-59.175,270.0,bottom
R92,181.725,-59.175,270.0,bottom
R94,201.245,-57.425,0.0,bottom
R96,185.025,-66.025,270.0,top
R98,190.4,-63.425,90.0,top
R99,191.225,-54.675,270.0,top
SW1,178.375,-95.975,180.0,top
SW2,178.375,-61.525,0.0,top
TP10,198.25,-70.975,0.0,bottom
TP11,216.075,-87.075,0.0,top
TP12,217.075,-87.675,0.0,top
TP13,216.075,-88.275,0.0,top
TP14,217.075,-88.875,0.0,top
TP15,216.075,-89.475,0.0,top
TP16,217.075,-91.275,0.0,top
TP17,216.075,-90.675,0.0,top
TP18,217.075,-90.075,0.0,top
TP19,220.705,-64.62,0.0,top
TP20,181.075,-93.625,0.0,top
TP21,183.495,-95.25,0.0,top
TP22,185.3,-94.25,0.0,top
