Designator,Mid X,Mid Y,Rotation,Layer
R64,164.644974,-106.356898,0.0,bottom
R65,164.644974,-105.6569,180.0,bottom
R66,160.400001,-107.356901,270.0,bottom
R67,150.55,-84.69,270.0,top
R68,149.85,-84.69,270.0,top
R69,159.690001,-107.3569,90.0,bottom
R7,169.04,-106.425,90.0,bottom
R70,150.15,-102.23,90.0,top
R71,150.85,-102.230001,270.0,top
R72,151.380001,-109.255001,270.0,top
R73,138.2,-112.995,270.0,bottom
R74,137.5,-112.995,270.0,bottom
R75,129.225,-97.15,180.0,top
R76,131.5,-111.775,90.0,top
R77,138.545,-104.2,180.0,top
R78,135.1,-107.325,90.0,bottom
R79,146.25,-102.4,180.0,bottom
R8,172.935,-110.005,90.0,bottom
R80,134.4,-105.8,270.0,bottom
R81,145.800799,-97.575,0.0,top
R83,138.555,-101.375,180.0,top
R84,138.555,-102.075,180.0,top
R85,138.555,-102.775,180.0,top
R86,138.555,-103.474999,180.0,top
R87,138.545,-104.9,0.0,top
R89,134.6,-84.3,0.0,bottom
R9,173.635,-110.005,90.0,bottom
R90,134.6,-82.9,0.0,bottom
R91,143.4,-88.699999,180.0,bottom
R92,143.4,-87.2,180.0,bottom
R93,143.4,-85.700001,180.0,bottom
R94,134.6,-85.0,180.0,bottom
R95,134.6,-83.6,180.0,bottom
R96,143.4,-88.0,0.0,bottom
R97,143.4,-86.5,0.0,bottom
R98,143.4,-85.0,0.0,bottom
R99,136.15,-78.2,270.0,top
SW1,129.58,-80.5,90.0,top
U1,171.435,-113.0,180.0,top
U10,143.85,-107.964999,180.0,top
U11,169.45,-82.85,180.0,bottom
U12,163.45,-84.6,0.0,top
U13,164.37,-94.575,0.0,top
U14,151.32,-74.3,270.0,bottom
U15,156.4,-76.1,90.0,top
U16,148.495,-81.2,180.0,top
U17,158.65,-110.0175,180.0,top
U18,150.2,-90.625,270.0,top
U19,150.85,-105.125,90.0,top
U2,167.518401,-104.870001,270.0,bottom
U20,142.85,-96.525,0.0,top
U21,134.4,-106.6,180.0,top
U23,139.005,-85.275,180.0,bottom
U24,160.199975,-103.9569,180.0,top
U25,140.85,-107.965,180.0,top
U26,163.9,-109.9325,180.0,top
U27,141.1,-115.7,180.0,bottom
U3,167.825001,-106.4,180.0,top
U4,161.4,-110.532501,0.0,top
U5,142.4,-103.6,0.0,top
U6,152.249999,-115.032502,180.0,top
U7,137.305,-107.00364,270.0,top
U8,167.35,-86.7,180.0,top
U9,166.4,-77.0,270.0,top
Y1,173.475,-80.125,90.0,top
Y2,160.47,-88.375,90.0,top
Y3,156.5,-82.375,0.0,top
Y4,155.3,-98.025001,90.0,top
